label,strength,model,accuracy,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,features
HE_obe,strong,cat,0.9917908178777743,0.9925742574257426,0.9907350216182829,0.9916537867078825,0.9910340705319785,0.9928143712574851,0.9919234220759796,"['HE_ht', 'HE_wt']"
HE_obe,strong,lgbm,0.9923989054423837,0.992583436341162,0.9919703520691785,0.9922767995057151,0.9922202274087373,0.9928143712574851,0.9925172104160431,"['HE_ht', 'HE_wt', 'BP16_1']"
HE_obe,week,cat,0.994136460554371,0.9940955448201825,0.9940955448201825,0.9940955448201825,0.9941768131286395,0.9941768131286395,0.9941768131286395,"['HE_ht', 'HE_wt']"
HE_obe,week,lgbm,0.9949360341151386,0.9935760171306209,0.9962426194310252,0.9949075314928973,0.9962845010615711,0.9936474325039704,0.9949642194540154,"['HE_ht', 'HE_wt']"
HE_HCHOL,strong,cat,0.6947674418604651,0.7392959086584205,0.6276252019386107,0.6788990825688074,0.660280029476787,0.7658119658119659,0.7091412742382271,"['age', 'HE_ht', 'HE_wt']"
HE_HCHOL,strong,lgbm,0.6806478405315615,0.731948565776459,0.5977382875605816,0.658070253445976,0.6435218324982105,0.7683760683760684,0.7004285157771718,"['age', 'HE_ht', 'HE_wt', 'BE8_1']"
HE_HCHOL,week,cat,0.6947674418604651,0.7392959086584205,0.6276252019386107,0.6788990825688074,0.660280029476787,0.7658119658119659,0.7091412742382271,"['age', 'HE_ht', 'HE_wt']"
HE_HCHOL,week,lgbm,0.6806478405315615,0.731948565776459,0.5977382875605816,0.658070253445976,0.6435218324982105,0.7683760683760684,0.7004285157771718,"['age', 'HE_ht', 'HE_wt', 'BE8_1']"
HE_HTG,strong,cat,0.623336745138178,0.6523605150214592,0.596078431372549,0.6229508196721312,0.5968688845401174,0.6531049250535332,0.623721881390593,"['age', 'HE_ht', 'HE_wt']"
HE_HTG,strong,lgbm,0.6345957011258956,0.6617336152219874,0.6137254901960785,0.6368260427263479,0.6091269841269841,0.6573875802997858,0.6323377960865088,"['age', 'HE_ht', 'HE_wt']"
HE_HTG,week,cat,0.623336745138178,0.6523605150214592,0.596078431372549,0.6229508196721312,0.5968688845401174,0.6531049250535332,0.623721881390593,"['age', 'HE_ht', 'HE_wt']"
HE_HTG,week,lgbm,0.6345957011258956,0.6617336152219874,0.6137254901960785,0.6368260427263479,0.6091269841269841,0.6573875802997858,0.6323377960865088,"['age', 'HE_ht', 'HE_wt']"
HE_anem,strong,cat,0.6627680311890838,0.6647286821705426,0.6647286821705426,0.6647286821705426,0.6607843137254902,0.6607843137254902,0.6607843137254902,"['age', 'HE_ht', 'HE_wt']"
HE_anem,strong,lgbm,0.6734892787524367,0.6828282828282828,0.6550387596899225,0.66864490603363,0.664783427495292,0.692156862745098,0.6781940441882806,"['age', 'HE_ht', 'HE_wt', 'BE8_1']"
HE_anem,week,cat,0.6627680311890838,0.6647286821705426,0.6647286821705426,0.6647286821705426,0.6607843137254902,0.6607843137254902,0.6607843137254902,"['age', 'HE_ht', 'HE_wt']"
HE_anem,week,lgbm,0.6734892787524367,0.6828282828282828,0.6550387596899225,0.66864490603363,0.664783427495292,0.692156862745098,0.6781940441882806,"['age', 'HE_ht', 'HE_wt', 'BE8_1']"
HE_HP,strong,cat,0.9342465753424658,0.9776536312849162,0.8974358974358975,0.9358288770053476,0.8924731182795699,0.9764705882352941,0.9325842696629213,"['BP5', 'age', 'BO3_14', 'HE_wt', 'HE_ht', 'BO3_10', 'occp', 'BO3_03', 'BO3_01', 'BD2']"
HE_HP,strong,lgbm,0.8452054794520548,0.9085545722713865,0.7897435897435897,0.8449931412894376,0.7902813299232737,0.9088235294117647,0.8454172366621067,"['HE_ht', 'HE_wt', 'age', 'BD2', 'BE8_1', 'BE3_31', 'BP5', 'occp', 'LS_FRUIT', 'BP16_2']"
HE_HP,week,cat,0.710691823899371,0.7177777777777777,0.684322033898305,0.7006507592190889,0.7043650793650794,0.7365145228215768,0.7200811359026369,"['age', 'HE_wt']"
HE_HP,week,lgbm,0.7209119496855346,0.7225527312060573,0.7076271186440678,0.715012041744715,0.7193695983731571,0.7339211618257261,0.7265725288831836,"['age', 'HE_ht', 'HE_wt']"
HE_DM_HbA1c,strong,cat,0.6970802919708029,0.7700729927007299,0.5935302390998594,0.670373312152502,0.648418491484185,0.8088012139605463,0.7197839297771775,"['age', 'HE_wt']"
HE_DM_HbA1c,strong,lgbm,0.6992700729927007,0.763668430335097,0.6090014064697609,0.6776212832550861,0.6537982565379825,0.7966616084977238,0.7181942544459644,"['age', 'HE_ht', 'HE_wt', 'BE8_1']"
HE_DM_HbA1c,week,cat,0.7159502848265148,0.7480735032602253,0.6525336091003102,0.6970450151891743,0.6910344827586207,0.7795643153526971,0.7326346575676335,"['age', 'HE_wt']"
HE_DM_HbA1c,week,lgbm,0.7187985499741066,0.7541966426858513,0.6504653567735263,0.6985008328706275,0.6918869644484958,0.7873443983402489,0.7365356622998545,"['age', 'HE_ht', 'HE_wt']"
