iter	MultiClass
171	0.5448523155
172	0.5448277706
173	0.544780588
174	0.5447517941
175	0.5447303813
176	0.5447125425
177	0.5446965166
178	0.5446324692
179	0.5446025455
180	0.5445547684
181	0.5445047492
182	0.5444401223
183	0.5444033291
184	0.5443788197
185	0.5443209353
186	0.5442500233
187	0.5442318652
188	0.5441818481
189	0.5441477509
190	0.5440414467
191	0.5439970738
192	0.5438953404
193	0.543820616
194	0.5437968037
195	0.543732996
196	0.5437029285
197	0.5436597767
198	0.5436129216
199	0.5435529109
200	0.5434323034
201	0.5433778264
202	0.5433037854
203	0.5432537539
204	0.5432142127
205	0.5431653552
206	0.5431349395
207	0.5430786815
208	0.5430317163
209	0.5430055599
210	0.5429716817
211	0.5429520696
212	0.5429334769
213	0.5428863581
214	0.5427866485
215	0.5427104685
216	0.5426532787
217	0.5426115677
218	0.542585161
219	0.5425618979
220	0.5424603657
221	0.5424090861
222	0.5423215507
223	0.5422762698
224	0.5422023008
225	0.5421775647
226	0.5421550154
227	0.5421322105
228	0.5421072889
229	0.5420710985
230	0.5420090617
231	0.5419359766
232	0.5418943768
233	0.5418398734
234	0.5418317182
235	0.5417720867
236	0.5417250298
237	0.5416862388
238	0.5416253819
239	0.5415408855
240	0.5414604847
241	0.541401237
242	0.5413635594
243	0.5413226674
244	0.5412877606
245	0.5412452184
246	0.5411749975
247	0.541160727
248	0.5411008296
249	0.541079494
250	0.540979056
251	0.540949244
252	0.5408834511
253	0.5408598284
254	0.5408056181
255	0.5407266001
256	0.540696819
257	0.5406787972
258	0.5406115681
259	0.5405679281
260	0.5404700818
261	0.540410191
262	0.5403539247
263	0.5403099133
264	0.5402434224
265	0.5402162135
266	0.5401965594
267	0.5401245117
268	0.5400975018
269	0.5400150909
270	0.5399335657
271	0.5398931126
272	0.5398489732
273	0.5398074242
274	0.5397448779
275	0.5396865146
276	0.5396310493
277	0.5395649923
278	0.5395381321
279	0.5394465391
280	0.5394298489
281	0.5394050778
282	0.5393833166
283	0.5393643719
284	0.5393367877
285	0.5393111956
286	0.5392811812
287	0.539220494
288	0.5391882557
289	0.5391638032
290	0.5391296417
291	0.5391035592
292	0.5390517332
293	0.5390293458
294	0.5389935615
295	0.5389841557
296	0.5389484479
297	0.538874425
298	0.5388540375
299	0.5388071724
300	0.5387441782
301	0.5387026786
302	0.5386248725
303	0.5385503818
304	0.5385291732
305	0.5385039843
306	0.538426119
307	0.5383583932
308	0.5383412983
309	0.5383119835
310	0.5382607646
311	0.5382075112
312	0.5381696262
313	0.5381221093
314	0.5380909128
315	0.5380302819
316	0.5380055833
317	0.537970973
318	0.537891805
319	0.5378476631
320	0.5378017095
321	0.5377741984
322	0.5377335426
323	0.5376888616
324	0.5376468009
325	0.5375907121
326	0.5374958867
327	0.5374638412
328	0.5374394758
329	0.5373636824
330	0.5373564957
331	0.5373373277
332	0.5372716348
333	0.5372444099
334	0.5372112734
335	0.537186694
336	0.5371392053
337	0.5370870265
338	0.537062614
339	0.5370486764
340	0.5369916921
341	0.536923495
342	0.5368606834
343	0.5368359016
344	0.536820709
345	0.5367943556
346	0.5367759814
347	0.5367487829
348	0.5367395636
349	0.5367208179
350	0.5366559631
351	0.5365987133
352	0.5365733169
353	0.5365174301
354	0.53649815
355	0.5364834162
356	0.5364550437
357	0.5363720919
358	0.5363491733
359	0.5362900545
360	0.5362690387
361	0.5362245861
362	0.5361981777
363	0.5361699399
364	0.5361475108
365	0.536120563
366	0.5361016493
367	0.5360616598
368	0.5360432276
369	0.5359862471
370	0.5359473305
371	0.5359289359
372	0.5358729993
373	0.5357832885
374	0.5357604672
375	0.5357286741
376	0.5356577664
377	0.5356420076
378	0.5356027859
379	0.5355505929
380	0.5355224492
381	0.5354788895
382	0.535438824
383	0.5354019379
384	0.5353712426
385	0.535305096
386	0.5352560026
387	0.5352334794
388	0.5352035996
389	0.5351802978
390	0.5351597258
391	0.5351297571
392	0.5350872922
393	0.5350669473
394	0.535012149
395	0.5349335148
396	0.5349144352
397	0.5348955844
398	0.5348597441
399	0.5348188216
400	0.53478895
401	0.5347385452
402	0.5346751031
403	0.5346127376
404	0.5345924109
405	0.5345311944
406	0.5345001212
407	0.5344642259
408	0.5344271464
409	0.5344035547
410	0.5343770905
411	0.5343551192
412	0.5343224767
413	0.5342982862
414	0.5342562308
415	0.534232965
416	0.5341573006
417	0.5341131545
418	0.5340741478
419	0.5340370029
420	0.5339785365
421	0.5339589145
422	0.5339141592
423	0.5338922665
424	0.5338658358
425	0.5338399235
426	0.5337843126
427	0.5337309565
428	0.5336879105
429	0.5336693122
430	0.5336503977
431	0.5336237549
432	0.533600574
433	0.5335823831
434	0.533508016
435	0.5334736927
436	0.5334514578
437	0.5334421432
438	0.5334200289
439	0.5334021007
440	0.5333376046
441	0.5333234564
442	0.5333080622
443	0.5332841832
444	0.5332539654
445	0.5332127163
446	0.5331816074
447	0.5331691625
448	0.5331172712
449	0.5330907852
450	0.5330702629
451	0.5330221112
452	0.5329985347
453	0.5329508518
454	0.5329216283
455	0.5329015763
456	0.5328535319
457	0.5328121814
458	0.5327766328
459	0.5327373897
460	0.5326913234
461	0.5326816923
462	0.5326729556
463	0.5326410512
464	0.5326079764
465	0.5325733069
466	0.5325417567
467	0.5325107778
468	0.5324913491
469	0.5324454488
470	0.5323905167
471	0.532358756
472	0.532329443
473	0.5323232239
474	0.5323115498
475	0.5322724146
476	0.5322460341
477	0.532215942
478	0.5321784597
479	0.5321637886
480	0.5321358563
481	0.5321178224
482	0.5320789214
483	0.5320341123
484	0.5320011531
485	0.5319729516
486	0.5319363606
487	0.5318901803
488	0.5318332476
489	0.5317794551
490	0.5317451035
491	0.5317122235
492	0.5317013023
493	0.5316798066
494	0.531649281
495	0.5316128864
496	0.5315779677
497	0.5315680163
498	0.5315408583
499	0.531532953
500	0.5315101396
501	0.5314610553
502	0.5314173282
503	0.5313942876
504	0.5313679213
505	0.531307922
506	0.5312869889
507	0.5312362699
508	0.5312213646
509	0.5312064156
510	0.5311884897
511	0.5311561729
512	0.5311089519
513	0.5310770282
514	0.531017544
515	0.5310000722
516	0.5309620981
517	0.5309267364
518	0.5309133014
519	0.5308940423
520	0.5308718692
521	0.5308149243
522	0.5307889706
523	0.5307682423
524	0.5307342465
525	0.5307143749
526	0.5306599602
527	0.5306311389
528	0.530606299
529	0.5305917295
530	0.5305809201
531	0.5305536744
532	0.5305258668
533	0.5304825231
534	0.530416454
535	0.5303891556
536	0.5303658518
537	0.5302914171
538	0.5302644095
539	0.5302510016
540	0.5302276403
541	0.5302069651
542	0.5301456237
543	0.5301088827
544	0.5300748414
545	0.5300458364
546	0.5299821897
547	0.529956246
548	0.5299382578
549	0.5299319669
550	0.5299169923
551	0.5298889489
552	0.529867447
553	0.5298437696
554	0.5298204318
555	0.5297948613
556	0.5297770492
557	0.5297473833
558	0.5296975508
559	0.5296783395
560	0.5296493075
561	0.5296370874
562	0.5296086828
563	0.5295813537
564	0.5295751324
565	0.5295350083
566	0.5295072982
567	0.5294922215
568	0.5294759048
569	0.5294660224
570	0.5293879843
571	0.5293540558
572	0.5293252783
573	0.5293070312
574	0.5292843081
575	0.529275568
576	0.5292556261
577	0.5292423264
578	0.5292079455
579	0.5291964492
580	0.5291451873
581	0.5291102259
582	0.5290720128
583	0.5290379515
584	0.5289988581
585	0.5289786026
586	0.5289289131
587	0.528905835
588	0.5288791361
589	0.5288600223
590	0.5288522644
591	0.528839281
592	0.5287807128
593	0.5287272253
594	0.5286948438
595	0.5286716706
596	0.5286370321
597	0.5286279301
598	0.5286098396
599	0.5285575644
600	0.5285129503
601	0.5284862831
602	0.5284788366
603	0.5284575016
604	0.5284340373
605	0.5284141846
606	0.5283555736
607	0.5282887172
608	0.5282658625
609	0.5282438973
610	0.5282222601
611	0.5282164805
612	0.5281863714
613	0.5281720277
614	0.5281217216
615	0.5281141947
616	0.5280714672
617	0.5280394527
618	0.5280194143
619	0.5279894509
620	0.5279811102
621	0.5279626024
622	0.5279327721
623	0.5278604939
624	0.5278338638
625	0.5277949197
626	0.5277790538
627	0.5277535229
628	0.5277330884
629	0.5277105207
630	0.5276988817
631	0.5276113715
632	0.5275813936
633	0.5275560076
634	0.5275134723
635	0.52749447
636	0.5274820026
637	0.5274494648
638	0.527389379
639	0.5273699679
640	0.5273406567
641	0.5273325145
642	0.5272739493
643	0.5272456471
644	0.5272207585
645	0.5271809407
646	0.5271656892
647	0.52713341
648	0.5271204172
649	0.5270694678
650	0.5270335721
651	0.5269825495
652	0.5269601333
653	0.5269296645
654	0.5269233857
655	0.5268920398
656	0.5268723594
657	0.5268484864
658	0.5268268925
659	0.5268210092
660	0.5268080422
661	0.5267952357
662	0.5267668056
663	0.526746065
664	0.5267281496
665	0.5266908763
666	0.5266449973
667	0.5266284078
668	0.5265821616
669	0.5265514556
670	0.5265318292
671	0.5265082917
672	0.5264786261
673	0.5264562196
674	0.5264396542
675	0.5264275194
676	0.5264123518
677	0.5263756062
678	0.5263546386
679	0.5263053641
680	0.5262862135
681	0.5262538929
682	0.526223808
683	0.5262176167
684	0.5261914124
685	0.5261553621
686	0.5261358042
687	0.5261214534
688	0.5260986826
689	0.5260747681
690	0.5260681743
691	0.5260502926
692	0.526010505
693	0.526002127
694	0.5259816251
695	0.5259678605
696	0.525907746
697	0.5258937476
698	0.5258821222
699	0.5258504106
700	0.5258271043
701	0.5257718923
702	0.5257384085
703	0.5256945185
704	0.5256670442
705	0.5256373925
706	0.5256232016
707	0.5255682908
708	0.5255380781
709	0.5255215482
710	0.5255042914
711	0.5254897472
712	0.52546581
713	0.5254474963
714	0.5254084306
715	0.5253704356
716	0.5253436415
717	0.525330433
718	0.5253021095
719	0.525292362
720	0.5252817267
721	0.5252556886
722	0.525223247
723	0.5251883837
724	0.5251735382
725	0.5251316897
726	0.5250680841
727	0.5250416018
728	0.5250059796
729	0.5249612605
730	0.5249431743
731	0.5249094124
732	0.5248985632
733	0.5248733199
734	0.5248494918
735	0.5248397115
736	0.5248259988
737	0.5248060887
738	0.5247931429
739	0.5247293548
740	0.5246957001
741	0.5246899221
742	0.5246724261
743	0.52465487
744	0.5246489466
745	0.5246246807
746	0.5245926481
747	0.5245771334
748	0.5245723277
749	0.5245450146
750	0.5245379257
751	0.5245155995
752	0.5245009924
753	0.5244891696
754	0.5244621747
755	0.5244335061
756	0.5244113044
757	0.5243730563
758	0.5243588668
759	0.5243516465
760	0.5243415775
761	0.5243284716
762	0.5243080299
763	0.5242885911
764	0.5242775866
765	0.524236293
766	0.5241877795
767	0.5241529368
768	0.524119343
769	0.5240827668
770	0.5240673171
771	0.5240484137
772	0.5240417566
773	0.5240196524
774	0.5240141246
775	0.5239943636
776	0.523956074
777	0.5239383753
778	0.523934268
779	0.5239053373
780	0.5238437146
781	0.5237934715
782	0.5237674765
783	0.5237248577
784	0.5237071644
785	0.5236970054
786	0.5236628086
787	0.5236444105
788	0.5236281886
789	0.5235965052
790	0.5235809854
791	0.5235447751
792	0.5235396626
793	0.5235183335
794	0.5234960191
795	0.5234761135
796	0.523452247
797	0.5234319693
798	0.5234210576
799	0.5234025139
800	0.5233874679
801	0.5233736424
802	0.5233418009
803	0.5233322811
804	0.5233175691
805	0.5232928921
806	0.5232755074
807	0.5232689503
808	0.5232493329
809	0.5232334324
810	0.5232112383
811	0.5231907871
812	0.5231539594
813	0.5231173219
814	0.5230810836
815	0.523070691
816	0.5230631435
817	0.5229806833
818	0.5229650702
819	0.5229224995
820	0.5228783127
821	0.5228540386
822	0.5228349211
823	0.5228172358
824	0.5227874079
825	0.5227761857
826	0.5227560922
827	0.5227450955
828	0.5227196593
829	0.5227066819
830	0.5226795739
831	0.5226731055
832	0.522637271
833	0.5226268626
834	0.5226121909
835	0.5225642532
836	0.522547127
837	0.5225325547
838	0.5225163543
839	0.5225053192
840	0.5224733378
841	0.5224562687
842	0.5224336553
843	0.5224151021
844	0.5223986194
845	0.5223960222
846	0.522380561
847	0.5223550493
848	0.5223365506
849	0.5223096246
850	0.5222839265
851	0.522261757
852	0.5222294731
853	0.5222076599
854	0.5221813613
855	0.5221616155
856	0.5221410061
857	0.5221349608
858	0.5221029007
859	0.5220942452
860	0.5220793595
861	0.5220644767
862	0.5220447397
863	0.5220103402
864	0.5219757241
865	0.5219596311
866	0.5219449196
867	0.5219214514
868	0.5219119519
869	0.521895147
870	0.5218784052
871	0.5218736237
872	0.5218603472
873	0.5218416773
874	0.5218290911
875	0.5218072868
876	0.521779648
877	0.5217578742
878	0.5217443191
879	0.5217120479
880	0.5217050773
881	0.5216994377
882	0.5216601815
883	0.5216518994
884	0.5216179178
885	0.5215892116
886	0.5215720682
887	0.5215675927
888	0.5215590456
889	0.5215445812
890	0.521517653
891	0.5215071968
892	0.5215022377
893	0.5214790114
894	0.5214511022
895	0.521431099
896	0.5213630656
897	0.5213521361
898	0.5213288736
899	0.5213133566
900	0.5212939208
901	0.5212814326
902	0.5212405373
903	0.5212039369
904	0.5211895563
905	0.5211821148
906	0.5211675676
907	0.521142712
908	0.521110043
909	0.5210827948
910	0.5210654229
911	0.521042042
912	0.5210276813
913	0.5210212388
914	0.5209997095
915	0.5209711949
916	0.5209269491
917	0.5209204953
918	0.520905402
919	0.5208872252
920	0.5208708346
921	0.5208429005
922	0.520811609
923	0.5207973696
924	0.5207860147
925	0.5207526071
926	0.5207304311
927	0.5206879688
928	0.5206733435
929	0.5206575508
930	0.5206389618
931	0.5206280695
932	0.5206108386
933	0.5206010563
934	0.5205840565
935	0.5205766348
936	0.5205616859
937	0.5205374222
938	0.5205263101
939	0.5205069245
940	0.5204980611
941	0.5204836485
942	0.5204403757
943	0.5204225282
944	0.5204183229
945	0.5203940804
946	0.5203823327
947	0.5203433939
948	0.5202827341
949	0.5202649133
950	0.5202535688
951	0.5202416192
952	0.5202068797
953	0.5201965407
954	0.5201857602
955	0.520174303
956	0.5201570419
957	0.5201416359
958	0.5201356863
959	0.520129284
960	0.5201255662
961	0.5200889404
962	0.5200764882
963	0.5200447574
964	0.5200236426
965	0.520006148
966	0.5199793356
967	0.5199450293
968	0.5199132545
969	0.5198804608
970	0.5198303542
971	0.5197934538
972	0.5197735696
973	0.519750761
974	0.5197233235
975	0.5197015183
976	0.5196776832
977	0.5196676176
978	0.5196288113
979	0.5196119543
980	0.5195987772
981	0.5195933582
982	0.519587467
983	0.519574831
984	0.5195623955
985	0.5195563055
986	0.5195313091
987	0.5195252192
988	0.519515392
989	0.5195079913
990	0.519499633
991	0.519453368
992	0.5194410734
993	0.5194190293
994	0.5194112556
995	0.5193954426
996	0.5193795474
997	0.5193479555
998	0.5193183903
999	0.5192920761
